python getRuleAccuracy.py ComplementRulesLB0.001C0.5NR10000/Complement1RulesLB0.001C0.5NR10000.csv UsefulFold1.csv,,,,,,,,,,,,
fullyCoveredInstances,321,,,,,,,,,,,
partiallyCoveredInstances,2,,,,,,,,,,,
nonCoveredInstances,2,,,,,,,,,,,
instanceCount,325,,,,,,,,,,,
ruleCount,677,,,,,,,,,,,677
python getRuleAccuracy.py ComplementRulesLB0.001C0.5NR10000/Complement2RulesLB0.001C0.5NR10000.csv UsefulFold2.csv,,,,,,,,,,,,
fullyCoveredInstances,297,,,,,,,,,,,
partiallyCoveredInstances,11,,,,,,,,,,,
nonCoveredInstances,4,,,,,,,,,,,
instanceCount,312,,,,,,,,,,,
ruleCount,550,,,,,,,,,,,1227
python getRuleAccuracy.py ComplementRulesLB0.001C0.5NR10000/Complement3RulesLB0.001C0.5NR10000.csv UsefulFold3.csv,,,,,,,,,,,,
fullyCoveredInstances,317,,,,,,,,,,,
partiallyCoveredInstances,2,,,,,,,,,,,
nonCoveredInstances,5,,,,,,,,,,,
instanceCount,324,,,,,,,,,,,
ruleCount,585,,,,,,,,,,,1812
python getRuleAccuracy.py ComplementRulesLB0.001C0.5NR10000/Complement4RulesLB0.001C0.5NR10000.csv UsefulFold4.csv,,,,,,,,,,,,
fullyCoveredInstances,300,,,,,,,,,,,
partiallyCoveredInstances,6,,,,,,,,,,,
nonCoveredInstances,5,,,,,,,,,,,
instanceCount,311,,,,,,,,,,,
ruleCount,798,,,,,,,,,,,2610
python getRuleAccuracy.py ComplementRulesLB0.001C0.5NR10000/Complement5RulesLB0.001C0.5NR10000.csv UsefulFold5.csv,,,,,,,,,,,,
fullyCoveredInstances,321,,,,,,,,,,,
partiallyCoveredInstances,4,,,,,,,,,,,
nonCoveredInstances,2,,,,,,,,,,,
instanceCount,327,,,,,,,,,,,
ruleCount,647,,,,,,,,,,,3257
python getRuleAccuracy.py ComplementRulesLB0.001C0.5NR10000/Complement6RulesLB0.001C0.5NR10000.csv UsefulFold6.csv,,,,,,,,,,,,
fullyCoveredInstances,316,,,,,,,,,,,
partiallyCoveredInstances,8,,,,,,,,,,,
nonCoveredInstances,2,,,,,,,,,,,
instanceCount,326,,,,,,,,,,,
ruleCount,762,,,,,,,,,,,4019
python getRuleAccuracy.py ComplementRulesLB0.001C0.5NR10000/Complement7RulesLB0.001C0.5NR10000.csv UsefulFold7.csv,,,,,,,,,,,,
fullyCoveredInstances,310,,,,,,,,,,,
partiallyCoveredInstances,11,,,,,,,,,,,
nonCoveredInstances,1,,,,,,,,,,,
instanceCount,322,,,,,,,,,,,
ruleCount,761,,,,,,,,,,,4780
python getRuleAccuracy.py ComplementRulesLB0.001C0.5NR10000/Complement8RulesLB0.001C0.5NR10000.csv UsefulFold8.csv,,,,,,,,,,,,
fullyCoveredInstances,314,,,,,,,,,,,
partiallyCoveredInstances,3,,,,,,,,,,,
nonCoveredInstances,2,,,,,,,,,,,
instanceCount,319,,,,,,,,,,,
ruleCount,767,,,,,,,,,,,5547
python getRuleAccuracy.py ComplementRulesLB0.001C0.5NR10000/Complement9RulesLB0.001C0.5NR10000.csv UsefulFold9.csv,,,,,,,,,,,,
fullyCoveredInstances,296,,,,,,,,,,,
partiallyCoveredInstances,5,,,,,,,,,,,
nonCoveredInstances,2,,,,,,,,,,,
instanceCount,303,,,,,,,,,,,
ruleCount,694,,,,,,,,,,,6241
python getRuleAccuracy.py ComplementRulesLB0.001C0.5NR10000/Complement10RulesLB0.001C0.5NR10000.csv UsefulFold10.csv,,,,,,,,,,,,
fullyCoveredInstances,308,,,,,,,,,,,
partiallyCoveredInstances,7,,,,,,,,,,,
nonCoveredInstances,0,,,,,,,,,,,
instanceCount,315,,,,,,,,,,,
ruleCount,777,,,,,,,,,,,7018
python getRuleAccuracy.py ComplementRulesLB0.001C0.6NR10000/Complement1RulesLB0.001C0.6NR10000.csv UsefulFold1.csv,,,,,,,,,,,,
fullyCoveredInstances,318,,,,,,,,,,,
partiallyCoveredInstances,1,,,,,,,,,,,
nonCoveredInstances,6,,,,,,,,,,,
instanceCount,325,,,,,,,,,,,
ruleCount,538,,,,,,,,,,,538
python getRuleAccuracy.py ComplementRulesLB0.001C0.6NR10000/Complement2RulesLB0.001C0.6NR10000.csv UsefulFold2.csv,,,,,,,,,,,,
fullyCoveredInstances,291,,,,,,,,,,,
partiallyCoveredInstances,10,,,,,,,,,,,
nonCoveredInstances,11,,,,,,,,,,,
instanceCount,312,,,,,,,,,,,
ruleCount,454,,,,,,,,,,,992
python getRuleAccuracy.py ComplementRulesLB0.001C0.6NR10000/Complement3RulesLB0.001C0.6NR10000.csv UsefulFold3.csv,,,,,,,,,,,,
fullyCoveredInstances,310,,,,,,,,,,,
partiallyCoveredInstances,6,,,,,,,,,,,
nonCoveredInstances,8,,,,,,,,,,,
instanceCount,324,,,,,,,,,,,
ruleCount,454,,,,,,,,,,,1446
python getRuleAccuracy.py ComplementRulesLB0.001C0.6NR10000/Complement4RulesLB0.001C0.6NR10000.csv UsefulFold4.csv,,,,,,,,,,,,
fullyCoveredInstances,295,,,,,,,,,,,
partiallyCoveredInstances,9,,,,,,,,,,,
nonCoveredInstances,7,,,,,,,,,,,
instanceCount,311,,,,,,,,,,,
ruleCount,609,,,,,,,,,,,2055
python getRuleAccuracy.py ComplementRulesLB0.001C0.6NR10000/Complement5RulesLB0.001C0.6NR10000.csv UsefulFold5.csv,,,,,,,,,,,,
fullyCoveredInstances,314,,,,,,,,,,,
partiallyCoveredInstances,6,,,,,,,,,,,
nonCoveredInstances,7,,,,,,,,,,,
instanceCount,327,,,,,,,,,,,
ruleCount,503,,,,,,,,,,,2558
python getRuleAccuracy.py ComplementRulesLB0.001C0.6NR10000/Complement6RulesLB0.001C0.6NR10000.csv UsefulFold6.csv,,,,,,,,,,,,
fullyCoveredInstances,311,,,,,,,,,,,
partiallyCoveredInstances,7,,,,,,,,,,,
nonCoveredInstances,8,,,,,,,,,,,
instanceCount,326,,,,,,,,,,,
ruleCount,584,,,,,,,,,,,3142
python getRuleAccuracy.py ComplementRulesLB0.001C0.6NR10000/Complement7RulesLB0.001C0.6NR10000.csv UsefulFold7.csv,,,,,,,,,,,,
fullyCoveredInstances,304,,,,,,,,,,,
partiallyCoveredInstances,10,,,,,,,,,,,
nonCoveredInstances,8,,,,,,,,,,,
instanceCount,322,,,,,,,,,,,
ruleCount,606,,,,,,,,,,,3748
python getRuleAccuracy.py ComplementRulesLB0.001C0.6NR10000/Complement8RulesLB0.001C0.6NR10000.csv UsefulFold8.csv,,,,,,,,,,,,
fullyCoveredInstances,314,,,,,,,,,,,
partiallyCoveredInstances,1,,,,,,,,,,,
nonCoveredInstances,4,,,,,,,,,,,
instanceCount,319,,,,,,,,,,,
ruleCount,601,,,,,,,,,,,4349
python getRuleAccuracy.py ComplementRulesLB0.001C0.6NR10000/Complement9RulesLB0.001C0.6NR10000.csv UsefulFold9.csv,,,,,,,,,,,,
fullyCoveredInstances,286,,,,,,,,,,,
partiallyCoveredInstances,8,,,,,,,,,,,
nonCoveredInstances,9,,,,,,,,,,,
instanceCount,303,,,,,,,,,,,
ruleCount,556,,,,,,,,,,,4905
python getRuleAccuracy.py ComplementRulesLB0.001C0.6NR10000/Complement10RulesLB0.001C0.6NR10000.csv UsefulFold10.csv,,,,,,,,,,,,
fullyCoveredInstances,301,,,,,,,,,,,
partiallyCoveredInstances,8,,,,,,,,,,,
nonCoveredInstances,6,,,,,,,,,,,
instanceCount,315,,,,,,,,,,,
ruleCount,613,,,,,,,,,,,5518
python getRuleAccuracy.py ComplementRulesLB0.001C0.7NR10000/Complement1RulesLB0.001C0.7NR10000.csv UsefulFold1.csv,,,,,,,,,,,,
fullyCoveredInstances,312,,,,,,,,,,,
partiallyCoveredInstances,2,,,,,,,,,,,
nonCoveredInstances,11,,,,,,,,,,,
instanceCount,325,,,,,,,,,,,
ruleCount,427,,,,,,,,,,,427
python getRuleAccuracy.py ComplementRulesLB0.001C0.7NR10000/Complement2RulesLB0.001C0.7NR10000.csv UsefulFold2.csv,,,,,,,,,,,,
fullyCoveredInstances,284,,,,,,,,,,,
partiallyCoveredInstances,7,,,,,,,,,,,
nonCoveredInstances,21,,,,,,,,,,,
instanceCount,312,,,,,,,,,,,
ruleCount,361,,,,,,,,,,,788
python getRuleAccuracy.py ComplementRulesLB0.001C0.7NR10000/Complement3RulesLB0.001C0.7NR10000.csv UsefulFold3.csv,,,,,,,,,,,,
fullyCoveredInstances,308,,,,,,,,,,,
partiallyCoveredInstances,4,,,,,,,,,,,
nonCoveredInstances,12,,,,,,,,,,,
instanceCount,324,,,,,,,,,,,
ruleCount,360,,,,,,,,,,,1148
python getRuleAccuracy.py ComplementRulesLB0.001C0.7NR10000/Complement4RulesLB0.001C0.7NR10000.csv UsefulFold4.csv,,,,,,,,,,,,
fullyCoveredInstances,289,,,,,,,,,,,
partiallyCoveredInstances,7,,,,,,,,,,,
nonCoveredInstances,15,,,,,,,,,,,
instanceCount,311,,,,,,,,,,,
ruleCount,477,,,,,,,,,,,1625
python getRuleAccuracy.py ComplementRulesLB0.001C0.7NR10000/Complement5RulesLB0.001C0.7NR10000.csv UsefulFold5.csv,,,,,,,,,,,,
fullyCoveredInstances,306,,,,,,,,,,,
partiallyCoveredInstances,7,,,,,,,,,,,
nonCoveredInstances,14,,,,,,,,,,,
instanceCount,327,,,,,,,,,,,
ruleCount,405,,,,,,,,,,,2030
python getRuleAccuracy.py ComplementRulesLB0.001C0.7NR10000/Complement6RulesLB0.001C0.7NR10000.csv UsefulFold6.csv,,,,,,,,,,,,
fullyCoveredInstances,308,,,,,,,,,,,
partiallyCoveredInstances,5,,,,,,,,,,,
nonCoveredInstances,13,,,,,,,,,,,
instanceCount,326,,,,,,,,,,,
ruleCount,478,,,,,,,,,,,2508
python getRuleAccuracy.py ComplementRulesLB0.001C0.7NR10000/Complement7RulesLB0.001C0.7NR10000.csv UsefulFold7.csv,,,,,,,,,,,,
fullyCoveredInstances,300,,,,,,,,,,,
partiallyCoveredInstances,11,,,,,,,,,,,
nonCoveredInstances,11,,,,,,,,,,,
instanceCount,322,,,,,,,,,,,
ruleCount,472,,,,,,,,,,,2980
python getRuleAccuracy.py ComplementRulesLB0.001C0.7NR10000/Complement8RulesLB0.001C0.7NR10000.csv UsefulFold8.csv,,,,,,,,,,,,
fullyCoveredInstances,303,,,,,,,,,,,
partiallyCoveredInstances,5,,,,,,,,,,,
nonCoveredInstances,11,,,,,,,,,,,
instanceCount,319,,,,,,,,,,,
ruleCount,485,,,,,,,,,,,3465
python getRuleAccuracy.py ComplementRulesLB0.001C0.7NR10000/Complement9RulesLB0.001C0.7NR10000.csv UsefulFold9.csv,,,,,,,,,,,,
fullyCoveredInstances,283,,,,,,,,,,,
partiallyCoveredInstances,3,,,,,,,,,,,
nonCoveredInstances,17,,,,,,,,,,,
instanceCount,303,,,,,,,,,,,
ruleCount,447,,,,,,,,,,,3912
python getRuleAccuracy.py ComplementRulesLB0.001C0.7NR10000/Complement10RulesLB0.001C0.7NR10000.csv UsefulFold10.csv,,,,,,,,,,,,
fullyCoveredInstances,294,,,,,,,,,,,
partiallyCoveredInstances,8,,,,,,,,,,,
nonCoveredInstances,13,,,,,,,,,,,
instanceCount,315,,,,,,,,,,,
ruleCount,475,,,,,,,,,,,4387
python getRuleAccuracy.py ComplementRulesLB0.001C0.8NR10000/Complement1RulesLB0.001C0.8NR10000.csv UsefulFold1.csv,,,,,,,,,,,,
fullyCoveredInstances,302,,,,,,,,,,,
partiallyCoveredInstances,2,,,,,,,,,,,
nonCoveredInstances,21,,,,,,,,,,,
instanceCount,325,,,,,,,,,,,
ruleCount,339,,,,,,,,,,,339
python getRuleAccuracy.py ComplementRulesLB0.001C0.8NR10000/Complement2RulesLB0.001C0.8NR10000.csv UsefulFold2.csv,,,,,,,,,,,,
fullyCoveredInstances,275,,,,,,,,,,,
partiallyCoveredInstances,6,,,,,,,,,,,
nonCoveredInstances,31,,,,,,,,,,,
instanceCount,312,,,,,,,,,,,
ruleCount,300,,,,,,,,,,,639
python getRuleAccuracy.py ComplementRulesLB0.001C0.8NR10000/Complement3RulesLB0.001C0.8NR10000.csv UsefulFold3.csv,,,,,,,,,,,,
fullyCoveredInstances,301,,,,,,,,,,,
partiallyCoveredInstances,3,,,,,,,,,,,
nonCoveredInstances,20,,,,,,,,,,,
instanceCount,324,,,,,,,,,,,
ruleCount,296,,,,,,,,,,,935
python getRuleAccuracy.py ComplementRulesLB0.001C0.8NR10000/Complement4RulesLB0.001C0.8NR10000.csv UsefulFold4.csv,,,,,,,,,,,,
fullyCoveredInstances,283,,,,,,,,,,,
partiallyCoveredInstances,4,,,,,,,,,,,
nonCoveredInstances,24,,,,,,,,,,,
instanceCount,311,,,,,,,,,,,
ruleCount,391,,,,,,,,,,,1326
python getRuleAccuracy.py ComplementRulesLB0.001C0.8NR10000/Complement5RulesLB0.001C0.8NR10000.csv UsefulFold5.csv,,,,,,,,,,,,
fullyCoveredInstances,295,,,,,,,,,,,
partiallyCoveredInstances,5,,,,,,,,,,,
nonCoveredInstances,27,,,,,,,,,,,
instanceCount,327,,,,,,,,,,,
ruleCount,332,,,,,,,,,,,1658
python getRuleAccuracy.py ComplementRulesLB0.001C0.8NR10000/Complement6RulesLB0.001C0.8NR10000.csv UsefulFold6.csv,,,,,,,,,,,,
fullyCoveredInstances,301,,,,,,,,,,,
partiallyCoveredInstances,3,,,,,,,,,,,
nonCoveredInstances,22,,,,,,,,,,,
instanceCount,326,,,,,,,,,,,
ruleCount,381,,,,,,,,,,,2039
python getRuleAccuracy.py ComplementRulesLB0.001C0.8NR10000/Complement7RulesLB0.001C0.8NR10000.csv UsefulFold7.csv,,,,,,,,,,,,
fullyCoveredInstances,293,,,,,,,,,,,
partiallyCoveredInstances,8,,,,,,,,,,,
nonCoveredInstances,21,,,,,,,,,,,
instanceCount,322,,,,,,,,,,,
ruleCount,385,,,,,,,,,,,2424
python getRuleAccuracy.py ComplementRulesLB0.001C0.8NR10000/Complement8RulesLB0.001C0.8NR10000.csv UsefulFold8.csv,,,,,,,,,,,,
fullyCoveredInstances,295,,,,,,,,,,,
partiallyCoveredInstances,6,,,,,,,,,,,
nonCoveredInstances,18,,,,,,,,,,,
instanceCount,319,,,,,,,,,,,
ruleCount,391,,,,,,,,,,,2815
python getRuleAccuracy.py ComplementRulesLB0.001C0.8NR10000/Complement9RulesLB0.001C0.8NR10000.csv UsefulFold9.csv,,,,,,,,,,,,
fullyCoveredInstances,275,,,,,,,,,,,
partiallyCoveredInstances,4,,,,,,,,,,,
nonCoveredInstances,24,,,,,,,,,,,
instanceCount,303,,,,,,,,,,,
ruleCount,369,,,,,,,,,,,3184
python getRuleAccuracy.py ComplementRulesLB0.001C0.8NR10000/Complement10RulesLB0.001C0.8NR10000.csv UsefulFold10.csv,,,,,,,,,,,,
fullyCoveredInstances,285,,,,,,,,,,,
partiallyCoveredInstances,6,,,,,,,,,,,
nonCoveredInstances,24,,,,,,,,,,,
instanceCount,315,,,,,,,,,,,
ruleCount,398,,,,,,,,,,,3582
python getRuleAccuracy.py ComplementRulesLB0.001C0.9NR10000/Complement1RulesLB0.001C0.9NR10000.csv UsefulFold1.csv,,,,,,,,,,,,
fullyCoveredInstances,283,,,,,,,,,,,
partiallyCoveredInstances,1,,,,,,,,,,,
nonCoveredInstances,41,,,,,,,,,,,
instanceCount,325,,,,,,,,,,,
ruleCount,251,,,,,,,,,,,251
python getRuleAccuracy.py ComplementRulesLB0.001C0.9NR10000/Complement2RulesLB0.001C0.9NR10000.csv UsefulFold2.csv,,,,,,,,,,,,
fullyCoveredInstances,248,,,,,,,,,,,
partiallyCoveredInstances,7,,,,,,,,,,,
nonCoveredInstances,57,,,,,,,,,,,
instanceCount,312,,,,,,,,,,,
ruleCount,196,,,,,,,,,,,447
python getRuleAccuracy.py ComplementRulesLB0.001C0.9NR10000/Complement3RulesLB0.001C0.9NR10000.csv UsefulFold3.csv,,,,,,,,,,,,
fullyCoveredInstances,280,,,,,,,,,,,
partiallyCoveredInstances,4,,,,,,,,,,,
nonCoveredInstances,40,,,,,,,,,,,
instanceCount,324,,,,,,,,,,,
ruleCount,202,,,,,,,,,,,649
python getRuleAccuracy.py ComplementRulesLB0.001C0.9NR10000/Complement4RulesLB0.001C0.9NR10000.csv UsefulFold4.csv,,,,,,,,,,,,
fullyCoveredInstances,257,,,,,,,,,,,
partiallyCoveredInstances,5,,,,,,,,,,,
nonCoveredInstances,49,,,,,,,,,,,
instanceCount,311,,,,,,,,,,,
ruleCount,270,,,,,,,,,,,919
python getRuleAccuracy.py ComplementRulesLB0.001C0.9NR10000/Complement5RulesLB0.001C0.9NR10000.csv UsefulFold5.csv,,,,,,,,,,,,
fullyCoveredInstances,273,,,,,,,,,,,
partiallyCoveredInstances,4,,,,,,,,,,,
nonCoveredInstances,50,,,,,,,,,,,
instanceCount,327,,,,,,,,,,,
ruleCount,238,,,,,,,,,,,1157
python getRuleAccuracy.py ComplementRulesLB0.001C0.9NR10000/Complement6RulesLB0.001C0.9NR10000.csv UsefulFold6.csv,,,,,,,,,,,,
fullyCoveredInstances,288,,,,,,,,,,,
partiallyCoveredInstances,5,,,,,,,,,,,
nonCoveredInstances,33,,,,,,,,,,,
instanceCount,326,,,,,,,,,,,
ruleCount,282,,,,,,,,,,,1439
python getRuleAccuracy.py ComplementRulesLB0.001C0.9NR10000/Complement7RulesLB0.001C0.9NR10000.csv UsefulFold7.csv,,,,,,,,,,,,
fullyCoveredInstances,272,,,,,,,,,,,
partiallyCoveredInstances,8,,,,,,,,,,,
nonCoveredInstances,42,,,,,,,,,,,
instanceCount,322,,,,,,,,,,,
ruleCount,267,,,,,,,,,,,1706
python getRuleAccuracy.py ComplementRulesLB0.001C0.9NR10000/Complement8RulesLB0.001C0.9NR10000.csv UsefulFold8.csv,,,,,,,,,,,,
fullyCoveredInstances,272,,,,,,,,,,,
partiallyCoveredInstances,3,,,,,,,,,,,
nonCoveredInstances,44,,,,,,,,,,,
instanceCount,319,,,,,,,,,,,
ruleCount,284,,,,,,,,,,,1990
python getRuleAccuracy.py ComplementRulesLB0.001C0.9NR10000/Complement9RulesLB0.001C0.9NR10000.csv UsefulFold9.csv,,,,,,,,,,,,
fullyCoveredInstances,251,,,,,,,,,,,
partiallyCoveredInstances,5,,,,,,,,,,,
nonCoveredInstances,47,,,,,,,,,,,
instanceCount,303,,,,,,,,,,,
ruleCount,244,,,,,,,,,,,2234
python getRuleAccuracy.py ComplementRulesLB0.001C0.9NR10000/Complement10RulesLB0.001C0.9NR10000.csv UsefulFold10.csv,,,,,,,,,,,,
fullyCoveredInstances,269,,,,,,,,,,,
partiallyCoveredInstances,3,,,,,,,,,,,
nonCoveredInstances,43,,,,,,,,,,,
instanceCount,315,,,,,,,,,,,
ruleCount,280,,,,,,,,,,,2514
python getRuleAccuracy.py ComplementRulesLB0.001C1NR10000/Complement1RulesLB0.001C1NR10000.csv UsefulFold1.csv,,,,,,,,,,,,
fullyCoveredInstances,121,,,,,,,,,,,
partiallyCoveredInstances,1,,,,,,,,,,,
nonCoveredInstances,203,,,,,,,,,,,
instanceCount,325,,,,,,,,,,,
ruleCount,194,,,,,,,,,,,194
python getRuleAccuracy.py ComplementRulesLB0.001C1NR10000/Complement2RulesLB0.001C1NR10000.csv UsefulFold2.csv,,,,,,,,,,,,
fullyCoveredInstances,97,,,,,,,,,,,
partiallyCoveredInstances,2,,,,,,,,,,,
nonCoveredInstances,213,,,,,,,,,,,
instanceCount,312,,,,,,,,,,,
ruleCount,142,,,,,,,,,,,336
python getRuleAccuracy.py ComplementRulesLB0.001C1NR10000/Complement3RulesLB0.001C1NR10000.csv UsefulFold3.csv,,,,,,,,,,,,
fullyCoveredInstances,126,,,,,,,,,,,
partiallyCoveredInstances,3,,,,,,,,,,,
nonCoveredInstances,195,,,,,,,,,,,
instanceCount,324,,,,,,,,,,,
ruleCount,148,,,,,,,,,,,484
python getRuleAccuracy.py ComplementRulesLB0.001C1NR10000/Complement4RulesLB0.001C1NR10000.csv UsefulFold4.csv,,,,,,,,,,,,
fullyCoveredInstances,177,,,,,,,,,,,
partiallyCoveredInstances,3,,,,,,,,,,,
nonCoveredInstances,131,,,,,,,,,,,
instanceCount,311,,,,,,,,,,,
ruleCount,202,,,,,,,,,,,686
python getRuleAccuracy.py ComplementRulesLB0.001C1NR10000/Complement5RulesLB0.001C1NR10000.csv UsefulFold5.csv,,,,,,,,,,,,
fullyCoveredInstances,106,,,,,,,,,,,
partiallyCoveredInstances,5,,,,,,,,,,,
nonCoveredInstances,216,,,,,,,,,,,
instanceCount,327,,,,,,,,,,,
ruleCount,177,,,,,,,,,,,863
python getRuleAccuracy.py ComplementRulesLB0.001C1NR10000/Complement6RulesLB0.001C1NR10000.csv UsefulFold6.csv,,,,,,,,,,,,
fullyCoveredInstances,123,,,,,,,,,,,
partiallyCoveredInstances,6,,,,,,,,,,,
nonCoveredInstances,197,,,,,,,,,,,
instanceCount,326,,,,,,,,,,,
ruleCount,198,,,,,,,,,,,1061
python getRuleAccuracy.py ComplementRulesLB0.001C1NR10000/Complement7RulesLB0.001C1NR10000.csv UsefulFold7.csv,,,,,,,,,,,,
fullyCoveredInstances,110,,,,,,,,,,,
partiallyCoveredInstances,5,,,,,,,,,,,
nonCoveredInstances,207,,,,,,,,,,,
instanceCount,322,,,,,,,,,,,
ruleCount,197,,,,,,,,,,,1258
python getRuleAccuracy.py ComplementRulesLB0.001C1NR10000/Complement8RulesLB0.001C1NR10000.csv UsefulFold8.csv,,,,,,,,,,,,
fullyCoveredInstances,117,,,,,,,,,,,
partiallyCoveredInstances,4,,,,,,,,,,,
nonCoveredInstances,198,,,,,,,,,,,
instanceCount,319,,,,,,,,,,,
ruleCount,201,,,,,,,,,,,1459
python getRuleAccuracy.py ComplementRulesLB0.001C1NR10000/Complement9RulesLB0.001C1NR10000.csv UsefulFold9.csv,,,,,,,,,,,,
fullyCoveredInstances,113,,,,,,,,,,,
partiallyCoveredInstances,3,,,,,,,,,,,
nonCoveredInstances,187,,,,,,,,,,,
instanceCount,303,,,,,,,,,,,
ruleCount,184,,,,,,,,,,,1643
python getRuleAccuracy.py ComplementRulesLB0.001C1NR10000/Complement10RulesLB0.001C1NR10000.csv UsefulFold10.csv,,,,,,,,,,,,
fullyCoveredInstances,109,,,,,,,,,,,
partiallyCoveredInstances,5,,,,,,,,,,,
nonCoveredInstances,201,,,,,,,,,,,
instanceCount,315,,,,,,,,,,,
ruleCount,211,,,,,,,,,,,1854
